Ship,Flag
SS Nordnorge,Kriegsmarine
HNoMS Norge,Royal Norwegian Navy
USS O-12,United States Navy
HMS Oxley,Royal Navy
MS Palatia,Kriegsmarine
SS Prins Olav,Royal Norwegian Navy
MS Rigel,Nazi Germany
HNoMS Sæl,Royal Norwegian Navy
SS Sanct Svithun,Norway
Scharnhorst,Kriegsmarine
MS Seattle,Nazi Germany
SS Sekstant,Norway
SS Sirius,Norway
HNoMS Stegg,Royal Norwegian Navy
HNoMS Storm,Royal Norwegian Navy
HMS Thistle,Royal Navy
Tirpitz,Kriegsmarine
U-6,Imperial German Navy
U-49,Kriegsmarine
U-622,Kriegsmarine
U-711,Kriegsmarine
U-737,Kriegsmarine
U-864,Kriegsmarine
HNoMS Uredd,Royal Norwegian Navy
Z21 Wilhelm Heidkamp,Kriegsmarine
Z9 Wolfgang Zenker,Kriegsmarine
SS General von Steuben,Nazi Germany
Graf Zeppelin,Soviet Navy
U-670,Kriegsmarine
U-854,Kriegsmarine
Wilhelm Gustloff,Nazi Germany
SS Andrios,United Kingdom
HMS Apollo,Royal Navy
SS Maria Grecia,Portugal
Numancia,Spanish Navy
The Pepper Wreck,Portuguese East India Company
SS Pimpao de Odemira,Kingdom of Portugal
MV River Gurara,Nigeria
Run'her,Confederate States of America
Spanish ship San Pedro de Alcantara,Spanish Navy
Suffren,French Navy
U-1277,Kriegsmarine
SS Woodham,United Kingdom
Nossa Senhora da Luz,Kingdom of Portugal
Cais do Sodré shipwreck,Unknown
MV Akra Aktion,Greece
MV E Evangelia,Greece
Shch-213,Soviet Navy
SS Admiral Nakhimov,Soviet Union
Agnes Blaikie,United Kingdom
Armenia,Soviet Union
HMS Bluebell,Royal Navy
MV Bulgaria,Russia
HMS Denbigh Castle,Royal Navy
USS Herndon,United States Navy
K-159,Russian Navy
HMS Matabele,Royal Navy
SS Revoljucija,Soviet Union
U-286,Kriegsmarine
U-763,Kriegsmarine
Spanish battleship Alfonso XIII,Spanish Republican Navy
HMS Britannia,Royal Navy
Spanish submarine C-3,Spanish Republican Navy
HMS Captain,Royal Navy
MV Cason,Panama
