line_index,Player,gender
1351,Nurse,Female
1352,Nurse,Female
1353,Nurse,Female
1354,Nurse,Female
1355,JULIET,Female
1356,JULIET,Female
1357,Nurse,Female
1358,Nurse,Female
1359,Nurse,Female
1360,Nurse,Female
1361,Nurse,Female
1362,JULIET,Female
1363,JULIET,Female
1364,Nurse,Female
1365,Nurse,Female
1366,Nurse,Female
1367,JULIET,Female
1368,JULIET,Female
1369,JULIET,Female
1370,JULIET,Female
1371,Nurse,Female
1372,Nurse,Female
1373,Nurse,Female
1374,Nurse,Female
1375,JULIET,Female
1376,Nurse,Female
1377,JULIET,Female
1378,Nurse,Female
1379,Nurse,Female
1380,Nurse,Female
1381,Nurse,Female
1382,Nurse,Female
1383,Nurse,Female
1384,Nurse,Female
1385,Nurse,Female
1386,Nurse,Female
1387,Nurse,Female
1388,JULIET,Female
1389,FRIAR LAURENCE,Male
1390,FRIAR LAURENCE,Male
1391,ROMEO,Male
1392,ROMEO,Male
1393,ROMEO,Male
1394,ROMEO,Male
1395,ROMEO,Male
1396,ROMEO,Male
1397,FRIAR LAURENCE,Male
1398,FRIAR LAURENCE,Male
1399,FRIAR LAURENCE,Male
1400,FRIAR LAURENCE,Male
1401,FRIAR LAURENCE,Male
1402,FRIAR LAURENCE,Male
1403,FRIAR LAURENCE,Male
1404,FRIAR LAURENCE,Male
1405,FRIAR LAURENCE,Male
1406,FRIAR LAURENCE,Male
1407,FRIAR LAURENCE,Male
1408,FRIAR LAURENCE,Male
1409,JULIET,Female
1410,FRIAR LAURENCE,Male
1411,JULIET,Female
1412,ROMEO,Male
1413,ROMEO,Male
1414,ROMEO,Male
1415,ROMEO,Male
1416,ROMEO,Male
1417,ROMEO,Male
1418,JULIET,Female
1419,JULIET,Female
1420,JULIET,Female
1421,JULIET,Female
1422,JULIET,Female
1423,FRIAR LAURENCE,Male
1424,FRIAR LAURENCE,Male
1425,FRIAR LAURENCE,Male
1426,BENVOLIO,Male
1427,BENVOLIO,Male
1428,BENVOLIO,Male
1429,BENVOLIO,Male
1430,MERCUTIO,Male
1431,MERCUTIO,Male
1432,MERCUTIO,Male
1433,MERCUTIO,Male
